company,website,city,source,has_website
CHEMFE CHEMICALS CORPORATION,https://www.maharashtradirectory.com/companyinfo/chemfe-chemicals-corporation-llp-mumbai-124589.html,Mumbai,MaharashtraDirectory,True
BHUMI CHEM,https://www.maharashtradirectory.com/companyinfo/bhumi-chem-india-mumbai-124986.html,Mumbai,MaharashtraDirectory,True
VIMAL INTERTRAD PVT,https://www.maharashtradirectory.com/companyinfo/vimal-intertrad-pvtltd-mumbai-82896.html,Mumbai,MaharashtraDirectory,True
YASHAM SPECIALITY INGREDIENTS PVT,https://www.maharashtradirectory.com/companyinfo/yasham-speciality-ingredients-pvtltd-mumbai-101748.html,Mumbai,MaharashtraDirectory,True
AMIZARA AGENCIES,https://www.maharashtradirectory.com/companyinfo/amizara-agencies-mumbai-117136.html,Mumbai,MaharashtraDirectory,True
AUM DYES & CHEMICALS PVT,https://www.maharashtradirectory.com/companyinfo/aum-dyes-and-chemicals-pvtltd-mumbai-160845.html,Mumbai,MaharashtraDirectory,True
CHAMPION SPECIALTY CHEMICALS,https://www.maharashtradirectory.com/companyinfo/champion-specialty-chemicals-pvt-ltd-mumbai-160846.html,Mumbai,MaharashtraDirectory,True
SOUJANYA COLOR,https://www.maharashtradirectory.com/companyinfo/soujanya-color-pvt-ltd-mumbai-160875.html,Mumbai,MaharashtraDirectory,True
SLN PHARMACHEM,https://www.maharashtradirectory.com/companyinfo/sln-pharmachem-mumbai-25807.html,Mumbai,MaharashtraDirectory,True
ADITYA BIRLA CHEMICALS,https://www.maharashtradirectory.com/companyinfo/aditya-birla-chemicals-india-ltd-mumbai-27049.html,Mumbai,MaharashtraDirectory,True
DAGA GLOBAL CHEMICALS PVT,https://www.maharashtradirectory.com/companyinfo/daga-global-chemicals-pvtltd-mumbai-28291.html,Mumbai,MaharashtraDirectory,True
ION EXCHANGE,https://www.maharashtradirectory.com/companyinfo/ion-exchange-india-ltd-mumbai-29811.html,Mumbai,MaharashtraDirectory,True
SPRAY FILL  PVT,https://www.maharashtradirectory.com/companyinfo/spray-fill-india-pvtltd-mumbai-76255.html,Mumbai,MaharashtraDirectory,True
MALLAK,https://www.maharashtradirectory.com/companyinfo/mallak-india-mumbai-107992.html,Mumbai,MaharashtraDirectory,True
DMCC SPECIALITY,https://www.maharashtradirectory.com/companyinfo/dmcc-speciality-mumbai-156876.html,Mumbai,MaharashtraDirectory,True
TELLABS CHEMICALS,https://www.maharashtradirectory.com/companyinfo/tellabs-chemicals-pvt-ltd-mumbai-79487.html,Mumbai,MaharashtraDirectory,True
CAPXIMIZE,https://www.maharashtradirectory.com/companyinfo/capximize-india-pvt-ltd-mumbai-154897.html,Mumbai,MaharashtraDirectory,True
GUNJAN PAINTS,https://www.maharashtradirectory.com/companyinfo/gunjan-paints-ltd-mumbai-147232.html,Mumbai,MaharashtraDirectory,True
DESIRE CHEMICALS PVT,https://www.maharashtradirectory.com/companyinfo/desire-chemicals-pvtltd-mumbai-147401.html,Mumbai,MaharashtraDirectory,True
MAHEK ENTERPRISE,https://www.maharashtradirectory.com/companyinfo/mahek-enterprise-mumbai-148670.html,Mumbai,MaharashtraDirectory,True
AMAL RASAYAN,https://www.maharashtradirectory.com/companyinfo/amal-rasayan-ltd-mumbai-149873.html,Mumbai,MaharashtraDirectory,True
A PLUS ENTERPRISES PVT,https://www.maharashtradirectory.com/companyinfo/a-plus-enterprises-pvtltd-mumbai-136933.html,Mumbai,MaharashtraDirectory,True
FUTURON SPECIALTY PRODUCTS PVT,https://www.maharashtradirectory.com/companyinfo/futuron-specialty-products-pvtltd-mumbai-137467.html,Mumbai,MaharashtraDirectory,True
JAY CHEM MARKETING,https://www.maharashtradirectory.com/companyinfo/jay-chem-marketing-mumbai-140580.html,Mumbai,MaharashtraDirectory,True
TECHNITHON TECHNOLOGIES,https://www.maharashtradirectory.com/companyinfo/technithon-technologies-pvt-ltd-mumbai-124174.html,Mumbai,MaharashtraDirectory,True
CJS SPECIALITY CHEMICALS PVT,https://www.maharashtradirectory.com/companyinfo/cjs-speciality-chemicals-pvtltd-mumbai-123976.html,Mumbai,MaharashtraDirectory,True
LORD CORPORATION,https://www.maharashtradirectory.com/companyinfo/lord-corporation-mumbai-113577.html,Mumbai,MaharashtraDirectory,True
EASTMAN CHEMICALS,https://www.maharashtradirectory.com/companyinfo/eastman-chemicals-ltd-mumbai-118695.html,Mumbai,MaharashtraDirectory,True
M.Y. TEXTILE AND TRADERS,https://www.maharashtradirectory.com/companyinfo/my-textile-and-traders-nashik-125553.html,Nashik,MaharashtraDirectory,True
HEXON LABORATORIES PVT,https://www.maharashtradirectory.com/companyinfo/hexon-laboratories-pvtltd-mumbai-129730.html,Nashik,MaharashtraDirectory,True
SPECTRUM ETHERS,https://www.maharashtradirectory.com/companyinfo/spectrum-ethers-ltd-nashik-113660.html,Nashik,MaharashtraDirectory,True
IMCD GROUP,https://www.maharashtradirectory.com/companyinfo/imcd-group-mumbai-51937.html,Mumbai,MaharashtraDirectory,True
ENVIRON SPECIALITY CHEMICALS PVT,https://www.maharashtradirectory.com/companyinfo/environ-speciality-chemicals-pvtltd-mumbai-46606.html,Mumbai,MaharashtraDirectory,True
ANKUSH ENTERPRISE,https://www.maharashtradirectory.com/companyinfo/ankush-enterprise-mumbai-37776.html,Mumbai,MaharashtraDirectory,True
ABHIYAN MEDIA PVT,https://www.maharashtradirectory.com/companyinfo/abhiyan-media-pvtltd-mumbai-114850.html,Mumbai,MaharashtraDirectory,True
INTERNATIONAL AGENCIES,https://www.maharashtradirectory.com/companyinfo/international-agencies-mumbai-125331.html,Mumbai,MaharashtraDirectory,True
MAJORHUB OLEOCHEMICALS,https://www.maharashtradirectory.com/companyinfo/majorhub-oleochemicals-pvt-ltd-mumbai-125530.html,Mumbai,MaharashtraDirectory,True
PARSHV MARKETING,https://www.maharashtradirectory.com/companyinfo/parshv-marketing-mumbai-125840.html,Mumbai,MaharashtraDirectory,True
ARIHANT CHEMICAL,https://www.maharashtradirectory.com/companyinfo/arihant-chemical-mumbai-126425.html,Mumbai,MaharashtraDirectory,True
NAVYUG ACID AND CHEMICAL COMPANY,https://www.maharashtradirectory.com/companyinfo/navyug-acid-and-chemical-company-mumbai-127722.html,Mumbai,MaharashtraDirectory,True
